respondent_id,age,occupation,monthly_income,qris_experience,qris_frequency,preferred_payment,main_purchase_channel,ease_1,ease_2,ease_3,benefit_1,benefit_2,benefit_3,security_1,security_2,security_3,decision_1,decision_2,decision_3,ease_score,benefit_score,security_score,decision_score
R187,23,Student,1M-2.9M,No,Never,QRIS,Offline,3,4,3,3,3,4,4,3,3,3,3,3,3.33,3.33,3.33,3.0
R188,21,Student,Below 1M,Yes,Very often,QRIS,Offline,3,2,2,4,4,3,2,2,3,4,4,3,2.33,3.67,2.33,3.67
R189,21,Employee,Below 1M,Yes,Very often,Cash,Both equally,5,4,5,3,3,3,3,3,4,3,3,3,4.67,3.0,3.33,3.0
R190,20,Student,3M-4.9M,Yes,Often,QRIS,Both equally,5,4,4,3,3,3,3,3,2,3,3,2,4.33,3.0,2.67,2.67
R191,19,Student,Below 1M,Yes,Very often,Cash,Offline,4,5,4,3,3,3,5,5,5,4,4,5,4.33,3.0,5.0,4.33
R192,23,Student,1M-2.9M,Yes,Very often,Cash,Both equally,5,4,5,3,3,4,3,3,3,4,3,4,4.67,3.33,3.0,3.67
R193,23,Student,Below 1M,Yes,Very often,QRIS,Both equally,3,3,3,1,1,1,4,2,3,3,3,2,3.0,1.0,3.0,2.67
R194,21,Student,1M-2.9M,Yes,Rarely,Cash,Offline,4,5,5,5,4,5,4,3,3,4,4,4,4.67,4.67,3.33,4.0
R195,20,Student,Below 1M,Yes,Very often,Bank Transfer,Offline,4,4,4,4,5,4,3,4,3,3,3,3,4.0,4.33,3.33,3.0
R196,20,Student,3M-4.9M,Yes,Often,Cash,Online,4,3,4,4,4,4,4,3,3,2,2,3,3.67,4.0,3.33,2.33
R197,22,Student,5M or more,Yes,Very often,Debit/Credit Card,Both equally,4,4,4,3,5,4,4,4,5,3,3,2,4.0,4.0,4.33,2.67
R198,23,Student,5M or more,Yes,Sometimes,QRIS,Both equally,3,3,4,3,3,2,3,4,3,3,3,4,3.33,2.67,3.33,3.33
R199,23,Student,3M-4.9M,No,Never,E-wallet without QRIS,Offline,3,3,3,5,5,5,2,2,3,4,4,3,3.0,5.0,2.33,3.67
R200,22,Student,Below 1M,Yes,Sometimes,E-wallet without QRIS,Offline,3,4,4,5,5,5,5,4,5,5,5,4,3.67,5.0,4.67,4.67
R201,22,Student,3M-4.9M,No,Never,Cash,Online,3,4,3,4,4,3,3,4,3,4,4,3,3.33,3.67,3.33,3.67
R202,19,Student,Below 1M,Yes,Sometimes,Bank Transfer,Online,3,3,2,5,4,4,4,3,4,4,4,4,2.67,4.33,3.67,4.0
R203,19,Student,Below 1M,Yes,Sometimes,QRIS,Offline,4,4,5,3,4,5,3,3,3,3,4,3,4.33,4.0,3.0,3.33
R204,23,Student,Below 1M,Yes,Sometimes,QRIS,Both equally,3,4,4,3,3,2,3,3,3,1,2,2,3.67,2.67,3.0,1.67
R205,21,Student,1M-2.9M,Yes,Very often,E-wallet without QRIS,Online,4,4,4,3,3,3,4,4,3,4,3,3,4.0,3.0,3.67,3.33
R206,18,Other,3M-4.9M,Yes,Rarely,E-wallet without QRIS,Both equally,4,3,4,4,4,4,2,2,2,2,3,4,3.67,4.0,2.0,3.0
R207,19,Student,1M-2.9M,Yes,Sometimes,QRIS,Both equally,2,2,3,4,3,3,5,4,5,3,3,3,2.33,3.33,4.67,3.0
R208,22,Employee,1M-2.9M,Yes,Sometimes,QRIS,Both equally,5,4,4,3,4,4,5,4,5,3,3,4,4.33,3.67,4.67,3.33
R209,18,Student,Below 1M,Yes,Often,QRIS,Online,3,3,3,4,3,4,4,3,3,3,2,3,3.0,3.67,3.33,2.67
R210,19,Student,5M or more,Yes,Sometimes,QRIS,Online,4,4,4,4,4,4,3,3,3,4,4,4,4.0,4.0,3.0,4.0
R211,21,Employee,1M-2.9M,Yes,Sometimes,E-wallet without QRIS,Offline,2,3,3,4,5,3,3,3,3,3,4,3,2.67,4.0,3.0,3.33
R212,22,Student,1M-2.9M,Yes,Often,Cash,Online,4,5,4,2,4,4,3,3,4,3,4,3,4.33,3.33,3.33,3.33
R213,22,Student,Below 1M,Yes,Often,QRIS,Offline,4,4,5,2,4,3,4,4,4,3,4,4,4.33,3.0,4.0,3.67
R214,20,Student,3M-4.9M,Yes,Sometimes,QRIS,Online,3,5,3,3,3,4,4,3,3,3,3,3,3.67,3.33,3.33,3.0
R215,22,Student,1M-2.9M,Yes,Sometimes,QRIS,Offline,5,5,5,5,5,3,3,4,4,4,4,3,5.0,4.33,3.67,3.67
R216,20,Self-employed,Below 1M,No,Never,QRIS,Offline,3,3,3,2,3,2,5,4,4,4,3,4,3.0,2.33,4.33,3.67
R217,20,Employee,Below 1M,Yes,Sometimes,Cash,Offline,4,4,4,4,5,5,4,5,4,3,2,4,4.0,4.67,4.33,3.0
R218,22,Other,1M-2.9M,Yes,Very often,Bank Transfer,Offline,3,4,4,5,4,5,2,2,2,5,3,4,3.67,4.67,2.0,4.0
R219,22,Student,1M-2.9M,No,Never,E-wallet without QRIS,Both equally,3,5,3,4,3,3,4,4,4,3,2,3,3.67,3.33,4.0,2.67
R220,23,Student,Below 1M,Yes,Sometimes,QRIS,Both equally,5,5,5,1,3,2,4,5,5,3,3,3,5.0,2.0,4.67,3.0
R221,22,Self-employed,5M or more,Yes,Often,E-wallet without QRIS,Online,4,4,5,3,3,3,5,5,5,2,3,2,4.33,3.0,5.0,2.33
R222,21,Student,Below 1M,Yes,Sometimes,E-wallet without QRIS,Offline,4,4,4,4,3,4,3,2,3,4,4,4,4.0,3.67,2.67,4.0
R223,19,Student,1M-2.9M,Yes,Often,E-wallet without QRIS,Offline,3,1,3,3,3,3,4,4,3,2,2,3,2.33,3.0,3.67,2.33
R224,20,Student,5M or more,Yes,Rarely,Cash,Offline,4,3,3,5,3,3,1,2,2,2,1,2,3.33,3.67,1.67,1.67
R225,20,Student,1M-2.9M,Yes,Rarely,QRIS,Offline,4,4,3,5,4,5,4,4,3,4,4,4,3.67,4.67,3.67,4.0
R226,20,Employee,1M-2.9M,Yes,Often,QRIS,Both equally,4,4,4,4,5,4,3,2,3,3,2,3,4.0,4.33,2.67,2.67
R227,25,Student,1M-2.9M,Yes,Sometimes,QRIS,Offline,3,3,3,3,3,3,5,5,5,3,3,3,3.0,3.0,5.0,3.0
R228,20,Employee,Below 1M,No,Never,QRIS,Offline,5,5,5,3,3,3,3,2,2,3,3,3,5.0,3.0,2.33,3.0
R229,23,Student,5M or more,Yes,Sometimes,QRIS,Offline,4,5,5,4,4,3,3,3,3,4,4,3,4.67,3.67,3.0,3.67
R230,21,Student,1M-2.9M,Yes,Often,Cash,Offline,4,5,4,3,4,3,3,2,3,3,3,3,4.33,3.33,2.67,3.0
R231,22,Student,3M-4.9M,Yes,Very often,Debit/Credit Card,Online,4,4,3,5,5,4,3,2,2,2,3,2,3.67,4.67,2.33,2.33
R232,21,Employee,Below 1M,Yes,Sometimes,Cash,Online,4,4,4,4,4,3,4,4,3,3,2,2,4.0,3.67,3.67,2.33
R233,21,Student,Below 1M,Yes,Often,QRIS,Offline,3,3,3,4,4,4,1,1,2,3,4,3,3.0,4.0,1.33,3.33
R234,21,Student,Below 1M,Yes,Very often,Bank Transfer,Offline,4,3,4,5,5,5,4,4,3,4,5,5,3.67,5.0,3.67,4.67
R235,19,Student,1M-2.9M,Yes,Very often,Bank Transfer,Offline,4,4,4,5,5,4,2,2,2,3,2,2,4.0,4.67,2.0,2.33
R236,22,Employee,1M-2.9M,No,Never,E-wallet without QRIS,Offline,4,3,2,4,4,5,3,4,4,4,3,4,3.0,4.33,3.67,3.67
R237,20,Student,3M-4.9M,Yes,Often,Bank Transfer,Offline,4,3,4,4,4,2,5,4,4,2,2,3,3.67,3.33,4.33,2.33
R238,18,Employee,1M-2.9M,Yes,Often,Cash,Both equally,3,4,3,3,4,3,5,4,4,3,3,2,3.33,3.33,4.33,2.67
R239,22,Student,5M or more,Yes,Sometimes,Bank Transfer,Online,2,3,2,5,5,5,3,4,3,2,2,3,2.33,5.0,3.33,2.33
R240,19,Student,Below 1M,Yes,Often,QRIS,Online,3,3,3,3,3,3,3,3,4,2,2,2,3.0,3.0,3.33,2.0
R241,24,Student,3M-4.9M,Yes,Sometimes,QRIS,Online,3,3,3,4,4,4,3,4,4,2,2,2,3.0,4.0,3.67,2.0
R242,24,Student,3M-4.9M,Yes,Sometimes,QRIS,Online,5,4,5,3,4,4,4,4,3,3,4,4,4.67,3.67,3.67,3.67
R243,24,Student,3M-4.9M,Yes,Often,QRIS,Online,4,4,4,4,4,3,3,2,2,4,3,3,4.0,3.67,2.33,3.33
R244,20,Student,3M-4.9M,Yes,Sometimes,QRIS,Online,2,3,3,3,3,2,4,4,3,3,2,3,2.67,2.67,3.67,2.67
R245,18,Student,3M-4.9M,Yes,Often,Cash,Both equally,5,4,4,5,5,4,1,2,1,3,4,3,4.33,4.67,1.33,3.33
R246,24,Employee,1M-2.9M,Yes,Often,E-wallet without QRIS,Offline,3,1,2,4,4,3,4,2,3,3,2,2,2.0,3.67,3.0,2.33
R247,21,Student,Below 1M,Yes,Often,Cash,Online,4,4,5,4,5,4,3,3,3,4,3,4,4.33,4.33,3.0,3.67
R248,24,Student,Below 1M,Yes,Sometimes,QRIS,Online,3,3,3,4,4,3,4,4,4,3,3,2,3.0,3.67,4.0,2.67
R249,24,Self-employed,5M or more,Yes,Sometimes,E-wallet without QRIS,Both equally,4,4,4,5,5,5,3,3,3,2,3,2,4.0,5.0,3.0,2.33
R250,23,Student,1M-2.9M,Yes,Often,Cash,Online,5,5,5,4,3,4,2,2,2,3,4,4,5.0,3.67,2.0,3.67
R251,20,Student,3M-4.9M,Yes,Very often,QRIS,Online,3,3,3,5,5,5,2,3,1,3,2,3,3.0,5.0,2.0,2.67
R252,20,Self-employed,1M-2.9M,Yes,Rarely,Debit/Credit Card,Offline,3,3,3,2,3,2,3,4,4,2,2,1,3.0,2.33,3.67,1.67
R253,23,Student,Below 1M,Yes,Sometimes,QRIS,Online,3,4,4,4,4,4,3,3,3,3,3,3,3.67,4.0,3.0,3.0
R254,20,Student,Below 1M,Yes,Very often,QRIS,Offline,4,4,4,4,4,4,4,3,2,2,3,3,4.0,4.0,3.0,2.67
R255,19,Student,1M-2.9M,No,Never,Bank Transfer,Offline,2,3,4,4,3,4,3,2,2,3,2,2,3.0,3.67,2.33,2.33
R256,21,Employee,1M-2.9M,Yes,Rarely,QRIS,Offline,3,2,2,4,4,4,3,5,3,3,3,3,2.33,4.0,3.67,3.0
R257,24,Student,Below 1M,No,Never,Cash,Online,3,3,3,3,5,4,4,3,3,3,3,3,3.0,4.0,3.33,3.0
R258,22,Student,1M-2.9M,Yes,Very often,E-wallet without QRIS,Offline,4,3,5,2,2,3,4,4,4,2,3,3,4.0,2.33,4.0,2.67
R259,21,Employee,Below 1M,Yes,Often,Debit/Credit Card,Offline,5,4,5,4,5,5,4,5,5,4,4,3,4.67,4.67,4.67,3.67
R260,19,Employee,1M-2.9M,Yes,Sometimes,QRIS,Both equally,3,3,4,2,1,1,2,2,3,4,3,3,3.33,1.33,2.33,3.33
R261,21,Student,Below 1M,Yes,Sometimes,QRIS,Offline,3,4,5,3,3,3,1,2,1,3,3,2,4.0,3.0,1.33,2.67
R262,25,Student,3M-4.9M,Yes,Sometimes,QRIS,Online,4,4,4,5,5,5,3,3,4,5,5,5,4.0,5.0,3.33,5.0
R263,19,Student,Below 1M,Yes,Sometimes,Cash,Online,3,2,2,4,4,3,1,2,3,3,4,3,2.33,3.67,2.0,3.33
R264,21,Student,1M-2.9M,Yes,Very often,QRIS,Offline,3,3,3,3,3,3,3,3,3,3,4,3,3.0,3.0,3.0,3.33
R265,23,Student,Below 1M,Yes,Often,QRIS,Both equally,3,4,4,4,4,4,2,3,2,2,2,2,3.67,4.0,2.33,2.0
R266,22,Student,Below 1M,Yes,Often,Bank Transfer,Offline,4,4,3,5,5,5,3,3,4,4,4,4,3.67,5.0,3.33,4.0
R267,22,Employee,1M-2.9M,Yes,Very often,Cash,Online,4,3,2,3,2,2,4,5,5,3,2,3,3.0,2.33,4.67,2.67
R268,22,Employee,1M-2.9M,Yes,Sometimes,QRIS,Online,4,4,3,3,3,2,4,4,4,3,3,3,3.67,2.67,4.0,3.0
R269,20,Student,1M-2.9M,Yes,Often,Cash,Online,1,3,1,5,4,5,4,4,4,3,3,4,1.67,4.67,4.0,3.33
R270,20,Employee,Below 1M,Yes,Often,Debit/Credit Card,Online,4,3,3,5,5,5,3,1,2,4,4,4,3.33,5.0,2.0,4.0
R271,22,Student,1M-2.9M,Yes,Very often,QRIS,Offline,4,5,4,4,4,4,3,3,3,3,4,3,4.33,4.0,3.0,3.33
R272,23,Employee,3M-4.9M,Yes,Sometimes,QRIS,Offline,3,3,3,3,2,3,1,2,1,1,1,2,3.0,2.67,1.33,1.33
R273,23,Student,3M-4.9M,No,Never,E-wallet without QRIS,Both equally,4,4,3,5,5,5,2,3,3,4,3,3,3.67,5.0,2.67,3.33
R274,24,Student,Below 1M,No,Never,Cash,Online,5,5,4,5,5,4,5,4,4,3,3,3,4.67,4.67,4.33,3.0
R275,21,Employee,1M-2.9M,Yes,Often,Cash,Both equally,4,3,4,4,4,4,3,4,4,3,3,4,3.67,4.0,3.67,3.33
R276,21,Student,Below 1M,Yes,Very often,QRIS,Both equally,4,4,3,4,3,2,2,4,4,3,3,2,3.67,3.0,3.33,2.67
R277,22,Student,Below 1M,Yes,Sometimes,QRIS,Both equally,4,2,3,4,3,3,3,3,4,2,3,2,3.0,3.33,3.33,2.33
R278,22,Student,5M or more,Yes,Rarely,QRIS,Online,4,4,4,3,3,4,4,3,3,3,4,4,4.0,3.33,3.33,3.67
R279,22,Student,Below 1M,Yes,Often,QRIS,Offline,4,5,5,4,4,4,3,3,4,3,3,2,4.67,4.0,3.33,2.67
R280,22,Student,1M-2.9M,Yes,Sometimes,QRIS,Both equally,3,5,4,4,5,5,4,3,4,5,5,5,4.0,4.67,3.67,5.0
R281,23,Student,1M-2.9M,Yes,Often,QRIS,Online,3,4,4,4,5,5,1,2,2,2,2,2,3.67,4.67,1.67,2.0
R282,20,Student,3M-4.9M,No,Never,E-wallet without QRIS,Offline,3,4,4,3,2,4,4,4,3,2,3,1,3.67,3.0,3.67,2.0
R283,20,Student,1M-2.9M,Yes,Very often,Bank Transfer,Both equally,5,4,4,5,5,5,5,4,4,5,4,4,4.33,5.0,4.33,4.33
R284,19,Student,Below 1M,Yes,Often,E-wallet without QRIS,Both equally,3,2,2,4,4,4,3,4,2,3,3,3,2.33,4.0,3.0,3.0
R285,21,Student,Below 1M,Yes,Often,E-wallet without QRIS,Online,4,5,5,4,4,4,4,4,4,4,4,4,4.67,4.0,4.0,4.0
R286,18,Self-employed,1M-2.9M,No,Never,QRIS,Offline,3,4,4,4,5,4,5,5,5,4,4,4,3.67,4.33,5.0,4.0
R287,21,Student,Below 1M,Yes,Often,Bank Transfer,Offline,5,4,3,3,2,3,3,3,3,3,3,3,4.0,2.67,3.0,3.0
R288,21,Student,1M-2.9M,Yes,Rarely,QRIS,Both equally,4,5,4,4,3,5,4,3,4,2,3,4,4.33,4.0,3.67,3.0
R289,20,Student,Below 1M,Yes,Sometimes,Bank Transfer,Both equally,3,2,3,3,4,4,2,2,3,4,3,3,2.67,3.67,2.33,3.33
R290,21,Self-employed,Below 1M,Yes,Very often,Bank Transfer,Offline,3,3,4,3,3,4,3,3,3,3,3,2,3.33,3.33,3.0,2.67
R291,18,Student,1M-2.9M,Yes,Often,Debit/Credit Card,Offline,4,3,3,4,5,3,3,4,4,4,3,3,3.33,4.0,3.67,3.33
R292,18,Student,Below 1M,Yes,Rarely,Bank Transfer,Both equally,3,3,4,5,5,5,3,3,3,3,2,2,3.33,5.0,3.0,2.33
R293,23,Student,1M-2.9M,Yes,Sometimes,Cash,Offline,4,5,5,2,3,3,2,3,2,3,2,3,4.67,2.67,2.33,2.67
R294,20,Student,1M-2.9M,Yes,Often,QRIS,Online,3,2,4,3,3,4,4,4,3,4,3,2,3.0,3.33,3.67,3.0
R295,19,Student,3M-4.9M,Yes,Often,QRIS,Both equally,4,3,3,4,4,5,5,4,4,2,3,3,3.33,4.33,4.33,2.67
R296,21,Employee,Below 1M,Yes,Very often,Cash,Offline,4,4,4,4,4,4,4,5,4,4,3,3,4.0,4.0,4.33,3.33
R297,22,Self-employed,Below 1M,Yes,Sometimes,QRIS,Online,3,3,4,4,5,3,4,4,3,2,3,3,3.33,4.0,3.67,2.67
R298,19,Student,Below 1M,Yes,Very often,Cash,Offline,3,4,4,4,3,3,3,4,4,3,2,4,3.67,3.33,3.67,3.0
R299,21,Student,1M-2.9M,Yes,Often,Bank Transfer,Offline,4,3,4,4,5,3,4,4,4,3,3,2,3.67,4.0,4.0,2.67
R300,19,Self-employed,3M-4.9M,Yes,Often,QRIS,Both equally,4,3,4,4,4,3,4,4,4,4,4,4,3.67,3.67,4.0,4.0
R301,18,Student,Below 1M,No,Never,E-wallet without QRIS,Online,3,3,3,2,2,3,2,3,3,2,2,2,3.0,2.33,2.67,2.0
R302,21,Student,5M or more,Yes,Often,Bank Transfer,Both equally,3,4,4,5,5,5,4,4,3,4,4,3,3.67,5.0,3.67,3.67
R303,21,Student,Below 1M,Yes,Sometimes,Bank Transfer,Online,3,3,3,4,5,5,2,1,3,4,3,4,3.0,4.67,2.0,3.67
R304,21,Student,1M-2.9M,Yes,Very often,Bank Transfer,Offline,4,4,4,4,3,3,3,3,3,3,3,2,4.0,3.33,3.0,2.67
R305,22,Student,3M-4.9M,Yes,Sometimes,Cash,Offline,5,5,5,5,4,4,4,4,3,4,4,5,5.0,4.33,3.67,4.33
R306,25,Student,3M-4.9M,Yes,Sometimes,Bank Transfer,Offline,4,4,4,4,4,4,4,4,4,3,3,3,4.0,4.0,4.0,3.0
R307,21,Self-employed,3M-4.9M,Yes,Very often,E-wallet without QRIS,Offline,4,4,4,4,5,4,2,3,3,5,4,4,4.0,4.33,2.67,4.33
R308,20,Self-employed,3M-4.9M,Yes,Often,QRIS,Offline,4,4,4,5,3,4,4,3,5,3,3,4,4.0,4.0,4.0,3.33
R309,22,Student,Below 1M,Yes,Very often,Cash,Offline,2,3,3,4,4,3,4,3,4,2,2,2,2.67,3.67,3.67,2.0
R310,20,Student,3M-4.9M,Yes,Often,Debit/Credit Card,Online,5,5,4,4,4,5,3,3,2,3,3,3,4.67,4.33,2.67,3.0
R311,21,Other,Below 1M,Yes,Sometimes,QRIS,Both equally,4,4,4,5,3,4,2,2,1,3,4,3,4.0,4.0,1.67,3.33
R312,18,Employee,3M-4.9M,Yes,Very often,Cash,Online,4,5,5,4,4,5,3,4,4,2,3,3,4.67,4.33,3.67,2.67
R313,18,Student,1M-2.9M,Yes,Rarely,Debit/Credit Card,Both equally,3,3,4,3,3,3,2,3,4,2,3,2,3.33,3.0,3.0,2.33
R314,24,Self-employed,3M-4.9M,Yes,Very often,QRIS,Offline,5,4,5,5,5,3,3,4,4,3,3,4,4.67,4.33,3.67,3.33
R315,23,Employee,1M-2.9M,Yes,Sometimes,Cash,Offline,4,4,4,3,4,2,3,3,3,2,2,2,4.0,3.0,3.0,2.0
R316,22,Student,1M-2.9M,No,Never,E-wallet without QRIS,Online,5,4,4,3,4,3,2,1,1,4,4,4,4.33,3.33,1.33,4.0
R317,20,Student,1M-2.9M,Yes,Very often,Cash,Online,4,3,3,3,3,3,3,2,2,2,3,3,3.33,3.0,2.33,2.67
R318,19,Student,3M-4.9M,Yes,Sometimes,QRIS,Offline,4,4,4,2,3,2,4,3,2,3,3,3,4.0,2.33,3.0,3.0
R319,19,Student,Below 1M,Yes,Often,QRIS,Both equally,4,5,5,5,5,5,3,4,4,5,5,4,4.67,5.0,3.67,4.67
R320,20,Student,Below 1M,Yes,Very often,QRIS,Both equally,4,4,4,5,5,5,3,2,4,2,2,4,4.0,5.0,3.0,2.67
R321,21,Employee,Below 1M,Yes,Often,Bank Transfer,Online,2,3,3,5,5,5,4,4,5,3,3,3,2.67,5.0,4.33,3.0
R322,22,Student,Below 1M,Yes,Often,QRIS,Offline,2,3,3,2,3,4,2,2,2,3,4,2,2.67,3.0,2.0,3.0
R323,22,Student,3M-4.9M,Yes,Very often,Cash,Both equally,4,4,4,5,4,4,4,4,5,4,3,3,4.0,4.33,4.33,3.33
R324,20,Student,Below 1M,Yes,Often,QRIS,Online,5,4,4,3,2,3,3,3,3,3,4,3,4.33,2.67,3.0,3.33
R325,24,Student,5M or more,Yes,Very often,QRIS,Both equally,4,3,4,4,3,3,3,5,5,4,3,4,3.67,3.33,4.33,3.67
R326,22,Self-employed,Below 1M,Yes,Often,E-wallet without QRIS,Both equally,5,3,4,3,2,4,3,2,4,4,3,4,4.0,3.0,3.0,3.67
R327,21,Student,Below 1M,Yes,Sometimes,Debit/Credit Card,Both equally,2,3,2,4,5,5,4,4,4,2,3,3,2.33,4.67,4.0,2.67
R328,21,Student,3M-4.9M,No,Never,QRIS,Online,3,4,4,4,4,4,3,3,3,3,3,2,3.67,4.0,3.0,2.67
R329,20,Student,1M-2.9M,Yes,Rarely,QRIS,Offline,2,2,3,4,4,4,2,3,3,3,2,2,2.33,4.0,2.67,2.33
R330,20,Student,1M-2.9M,Yes,Sometimes,QRIS,Online,4,4,4,4,5,4,5,4,4,4,3,4,4.0,4.33,4.33,3.67
R331,20,Student,1M-2.9M,No,Never,Cash,Online,3,3,4,5,5,5,3,4,3,5,3,4,3.33,5.0,3.33,4.0
R332,22,Student,3M-4.9M,Yes,Sometimes,Debit/Credit Card,Both equally,5,4,4,2,3,3,3,4,4,2,1,2,4.33,2.67,3.67,1.67
R333,18,Student,Below 1M,Yes,Often,QRIS,Offline,3,4,3,4,5,5,4,4,5,3,3,4,3.33,4.67,4.33,3.33
R334,19,Student,5M or more,Yes,Sometimes,QRIS,Offline,4,4,5,5,4,4,4,2,3,3,4,4,4.33,4.33,3.0,3.67
R335,18,Student,5M or more,Yes,Rarely,QRIS,Both equally,5,5,4,3,4,2,4,4,3,3,3,3,4.67,3.0,3.67,3.0
R336,18,Student,1M-2.9M,Yes,Rarely,Bank Transfer,Both equally,4,4,4,4,4,4,3,3,2,4,4,5,4.0,4.0,2.67,4.33
R337,23,Self-employed,Below 1M,Yes,Very often,Bank Transfer,Both equally,3,4,4,3,4,4,3,3,3,4,3,4,3.67,3.67,3.0,3.67
R338,22,Student,1M-2.9M,Yes,Often,QRIS,Both equally,4,4,4,4,3,4,3,4,3,4,4,4,4.0,3.67,3.33,4.0
R339,21,Student,Below 1M,No,Never,E-wallet without QRIS,Online,4,3,3,3,3,3,1,2,2,1,3,3,3.33,3.0,1.67,2.33
R340,19,Student,Below 1M,Yes,Sometimes,QRIS,Online,5,4,4,3,3,3,2,2,3,4,4,3,4.33,3.0,2.33,3.67
R341,21,Student,Below 1M,Yes,Very often,QRIS,Both equally,5,5,4,5,5,5,4,5,5,5,4,5,4.67,5.0,4.67,4.67
R342,21,Student,1M-2.9M,Yes,Rarely,E-wallet without QRIS,Online,4,5,5,4,4,3,3,4,5,4,4,4,4.67,3.67,4.0,4.0
R343,19,Student,3M-4.9M,Yes,Very often,Bank Transfer,Online,3,3,3,4,5,4,3,4,3,3,2,2,3.0,4.33,3.33,2.33
R344,21,Other,3M-4.9M,Yes,Often,Bank Transfer,Offline,4,4,4,2,3,3,3,4,3,4,3,2,4.0,2.67,3.33,3.0
R345,20,Student,3M-4.9M,No,Never,Cash,Online,2,2,4,3,2,3,3,2,3,1,3,3,2.67,2.67,2.67,2.33
R346,21,Student,1M-2.9M,Yes,Sometimes,QRIS,Both equally,4,4,4,5,4,4,5,5,5,4,4,4,4.0,4.33,5.0,4.0
R347,21,Student,Below 1M,Yes,Often,E-wallet without QRIS,Offline,4,4,4,3,2,3,4,2,4,3,3,4,4.0,2.67,3.33,3.33
R348,18,Other,1M-2.9M,Yes,Often,QRIS,Offline,2,2,2,4,4,3,4,3,4,2,3,2,2.0,3.67,3.67,2.33
R349,20,Student,5M or more,No,Never,Cash,Offline,3,3,3,4,3,4,4,4,5,3,3,3,3.0,3.67,4.33,3.0
R350,21,Student,Below 1M,Yes,Often,QRIS,Offline,5,4,3,4,4,2,2,3,3,2,3,2,4.0,3.33,2.67,2.33
R351,21,Student,3M-4.9M,Yes,Very often,Debit/Credit Card,Offline,3,4,4,3,4,3,4,5,5,4,4,5,3.67,3.33,4.67,4.33
R352,23,Student,1M-2.9M,Yes,Sometimes,QRIS,Online,2,3,2,5,4,4,1,2,2,2,2,2,2.33,4.33,1.67,2.0
R353,22,Student,1M-2.9M,No,Never,QRIS,Both equally,4,4,4,5,5,5,4,5,5,3,3,4,4.0,5.0,4.67,3.33
R354,19,Employee,3M-4.9M,Yes,Sometimes,Bank Transfer,Online,4,3,3,4,4,4,3,3,3,3,3,3,3.33,4.0,3.0,3.0
R355,18,Student,1M-2.9M,No,Never,QRIS,Offline,4,3,4,4,4,3,3,2,4,4,4,4,3.67,3.67,3.0,4.0
R356,22,Student,3M-4.9M,Yes,Rarely,Cash,Offline,3,3,3,5,3,4,2,2,2,1,1,1,3.0,4.0,2.0,1.0
R357,18,Student,5M or more,Yes,Sometimes,QRIS,Online,4,5,5,4,4,4,3,3,3,4,3,4,4.67,4.0,3.0,3.67
R358,21,Student,1M-2.9M,Yes,Sometimes,QRIS,Offline,5,5,5,4,5,5,2,3,3,3,3,3,5.0,4.67,2.67,3.0
R359,24,Student,Below 1M,Yes,Very often,QRIS,Both equally,3,3,3,2,3,2,3,2,2,2,3,2,3.0,2.33,2.33,2.33
R360,21,Student,1M-2.9M,Yes,Rarely,QRIS,Online,3,2,3,4,4,4,3,4,2,4,4,4,2.67,4.0,3.0,4.0
R361,20,Employee,5M or more,Yes,Often,E-wallet without QRIS,Both equally,4,4,4,3,2,2,4,4,4,2,3,2,4.0,2.33,4.0,2.33
R362,22,Student,Below 1M,Yes,Often,QRIS,Offline,3,4,4,4,4,4,3,4,3,4,3,4,3.67,4.0,3.33,3.67
R363,21,Student,1M-2.9M,Yes,Very often,Bank Transfer,Online,4,4,4,5,5,5,3,4,4,3,4,4,4.0,5.0,3.67,3.67
R364,21,Student,1M-2.9M,Yes,Very often,Cash,Offline,4,4,4,2,2,4,3,3,2,3,4,4,4.0,2.67,2.67,3.67
R365,24,Student,3M-4.9M,No,Never,QRIS,Both equally,2,3,3,3,3,4,3,2,3,2,2,2,2.67,3.33,2.67,2.0
R366,20,Student,Below 1M,No,Never,Cash,Online,5,5,5,5,5,5,4,5,4,4,2,3,5.0,5.0,4.33,3.0
R367,24,Student,3M-4.9M,Yes,Often,Cash,Offline,4,3,3,2,3,2,3,3,3,3,3,4,3.33,2.33,3.0,3.33
R368,23,Student,5M or more,Yes,Very often,E-wallet without QRIS,Offline,3,4,3,4,4,4,5,4,5,4,3,4,3.33,4.0,4.67,3.67
R369,19,Employee,Below 1M,Yes,Very often,QRIS,Offline,4,3,4,4,4,5,3,2,4,3,2,3,3.67,4.33,3.0,2.67
R370,18,Self-employed,Below 1M,Yes,Very often,QRIS,Online,4,4,3,4,3,3,4,3,4,3,2,3,3.67,3.33,3.67,2.67
R371,19,Student,5M or more,Yes,Often,E-wallet without QRIS,Offline,3,3,3,3,4,4,4,5,4,3,3,3,3.0,3.67,4.33,3.0
R372,18,Student,Below 1M,Yes,Rarely,Bank Transfer,Online,5,5,5,4,4,5,5,5,4,4,4,4,5.0,4.33,4.67,4.0
R373,19,Student,3M-4.9M,Yes,Sometimes,E-wallet without QRIS,Offline,3,3,3,4,4,5,2,3,2,3,2,3,3.0,4.33,2.33,2.67
R374,22,Student,1M-2.9M,Yes,Often,QRIS,Online,4,4,3,4,4,4,3,2,3,1,1,1,3.67,4.0,2.67,1.0
